[0, 0, 'brush', 'bar-5', 'observation', 0]
[223, 572, 'range select', 'hist-2', 'hypothesis', 0]
[224, 574, 'range select', 'hist-2', 'hypothesis', 0]
[225, 575, 'range select', 'hist-2', 'hypothesis', 0]
[226, 576, 'range select', 'hist-2', 'hypothesis', 0]
[227, 579, 'range select', 'hist-2', 'hypothesis', 0]
[228, 580, 'range select', 'hist-2', 'hypothesis', 0]
[229, 587, 'range select', 'hist-2', 'hypothesis', 0]
[230, 588, 'range select', 'hist-2', 'hypothesis', 0]
[231, 589, 'range select', 'hist-2', 'hypothesis', 0]
[232, 590, 'range select', 'hist-2', 'hypothesis', 0]
[233, 592, 'range select', 'hist-2', 'hypothesis', 0]
[234, 593, 'range select', 'hist-2', 'hypothesis', 0]
[235, 597, 'range select', 'hist-2', 'hypothesis', 0]
[236, 601, 'brush', 'hist-2', 'hypothesis', 0]
[237, 602, 'range select', 'hist-2', 'hypothesis', 0]
[238, 604, 'range select', 'hist-2', 'hypothesis', 0]
[239, 606, 'range select', 'hist-2', 'hypothesis', 0]
[240, 609, 'range select', 'hist-2', 'hypothesis', 0]
[241, 612, 'range select', 'hist-2', 'hypothesis', 0]
[242, 613, 'range select', 'hist-2', 'hypothesis', 0]
[243, 614, 'range select', 'hist-2', 'hypothesis', 1]
[244, 617, 'range select', 'hist-2', 'observation', 0]
[245, 618, 'range select', 'hist-2', 'observation', 0]
[246, 620, 'range select', 'hist-2', 'observation', 0]
[247, 621, 'range select', 'hist-2', 'observation', 0]
[248, 622, 'range select', 'hist-2', 'observation', 0]
[249, 623, 'range select', 'hist-2', 'observation', 0]
[250, 624, 'range select', 'hist-2', 'observation', 0]
[251, 625, 'range select', 'hist-2', 'observation', 0]
[252, 626, 'range select', 'hist-2', 'observation', 0]
[253, 627, 'range select', 'hist-2', 'observation', 0]
[254, 628, 'range select', 'hist-2', 'observation', 0]
[255, 629, 'range select', 'hist-2', 'observation', 0]
[256, 630, 'range select', 'hist-2', 'observation', 0]
[257, 631, 'range select', 'hist-2', 'observation', 0]
[258, 633, 'range select', 'hist-2', 'observation', 0]
[259, 636, 'range select', 'hist-2', 'observation', 0]
[260, 637, 'range select', 'hist-2', 'observation', 0]
[261, 639, 'range select', 'hist-2', 'observation', 0]
[262, 640, 'range select', 'hist-2', 'observation', 0]
[263, 642, 'range select', 'hist-2', 'observation', 0]
[264, 643, 'range select', 'hist-2', 'observation', 0]
[265, 644, 'range select', 'hist-2', 'observation', 0]
[266, 645, 'range select', 'hist-2', 'observation', 0]
[267, 646, 'range select', 'hist-2', 'observation', 0]
[268, 647, 'range select', 'hist-2', 'observation', 0]
[269, 648, 'range select', 'hist-2', 'observation', 0]
[270, 649, 'range select', 'hist-2', 'observation', 0]
[271, 651, 'range select', 'hist-2', 'observation', 0]
[272, 653, 'range select', 'hist-2', 'observation', 0]
[273, 655, 'range select', 'hist-2', 'observation', 0]
[274, 658, 'range select', 'bar-5', 'observation', 0]
[275, 659, 'brush', 'bar-5', 'observation', 0]
[276, 660, 'range select', 'bar-5', 'observation', 0]
[277, 661, 'range select', 'bar-5', 'observation', 0]
[278, 662, 'range select', 'bar-5', 'observation', 0]
[279, 663, 'range select', 'bar-5', 'observation', 0]
[280, 664, 'range select', 'bar-5', 'observation', 0]
[281, 665, 'range select', 'bar-5', 'observation', 0]
[282, 667, 'range select', 'hist-2', 'observation', 0]
[283, 668, 'range select', 'bar-5', 'observation', 0]
[284, 671, 'range select', 'hist-2', 'observation', 0]
[285, 672, 'range select', 'hist-2', 'observation', 0]
[286, 673, 'range select', 'hist-2', 'observation', 1]
[287, 783, 'pan', 'geo-0-1', 'observation', 0]
[288, 784, 'pan', 'geo-0-1', 'observation', 0]
[289, 785, 'pan', 'geo-0-1', 'observation', 0]
[290, 786, 'pan', 'geo-0-1', 'observation', 0]
[291, 789, 'range select', 'geo-0-1', 'observation', 0]
[292, 790, 'range select', 'geo-0-1', 'observation', 0]
[293, 791, 'range select', 'geo-0-1', 'observation', 0]
[294, 792, 'range select', 'geo-0-1', 'observation', 0]
[295, 794, 'range select', 'geo-0-1', 'observation', 0]
[296, 799, 'brush', 'hist-4', 'observation', 0]
[297, 801, 'brush', 'hist-4', 'observation', 0]
[298, 802, 'brush', 'hist-4', 'observation', 0]
[299, 803, 'brush', 'hist-4', 'observation', 0]
[300, 806, 'pan', 'geo-0-1', 'observation', 0]
[301, 809, 'pan', 'geo-0-1', 'observation', 0]
[302, 810, 'pan', 'geo-0-1', 'observation', 0]
[303, 811, 'pan', 'geo-0-1', 'observation', 0]
[304, 812, 'pan', 'geo-0-1', 'observation', 1]
[305, 818, 'pan', 'geo-0-1', 'observation', 0]
[306, 819, 'pan', 'geo-0-1', 'observation', 0]
[307, 820, 'pan', 'geo-0-1', 'observation', 1]
[308, 821, 'pan', 'geo-0-1', 'observation', 0]
[309, 823, 'pan', 'geo-0-1', 'observation', 1]
[310, 824, 'pan', 'geo-0-1', 'hypothesis', 0]
[311, 825, 'pan', 'geo-0-1', 'hypothesis', 0]
[312, 826, 'pan', 'geo-0-1', 'hypothesis', 1]
[313, 828, 'pan', 'geo-0-1', 'hypothesis', 0]
[314, 829, 'pan', 'geo-0-1', 'hypothesis', 0]
[315, 830, 'pan', 'geo-0-1', 'hypothesis', 0]
[316, 831, 'range select', 'geo-0-1', 'hypothesis', 0]
[317, 832, 'range select', 'geo-0-1', 'hypothesis', 1]
[318, 833, 'range select', 'geo-0-1', 'observation', 0]
[319, 834, 'range select', 'geo-0-1', 'observation', 1]

